,Unnamed: 0,Unnamed: 0.1,compound,flashpoint,pure substance,smiles,source,residual
3399,7680,7680,"4-Pyridinecarboxylic acid, 1,2-dihydro-6-hydroxy-2-oxo-",454.05,1.0,O=C(O)c1cc(O)[nH]c(=O)c1,le15,-105.74480711238635
3829,8110,8110,"methyl 2,4-dimethylbenzoate",470.85,1.0,COC(=O)c1ccc(C)cc1C,le15,107.74621623988617
4113,8394,8394,"Benzenesulfonamide, 2-methyl-",326.65,1.0,Cc1ccccc1S(N)(=O)=O,le15,-120.23941092678024
4150,8431,8431,"1,1'-Biphenyl, 2-fluoro-",521.15,1.0,Fc1ccccc1-c1ccccc1,le15,138.7774504849013
4559,8840,8840,"Butanedioic acid, 2,3-dimercapto-",388.772,1.0,O=C(O)C(S)C(S)C(=O)O,le15,-106.10818260755201
5252,9533,9533,Fluoranthene,282.0499999999999,1.0,c1ccc2c(c1)-c1cccc3cccc-2c13,le15,-171.2842328137408
5873,10154,10154,"2-Naphthalenemethanol, alpha-(((1-methylethyl)amino)methyl)-",357.45,1.0,CC(C)NCC(O)c1ccc2ccccc2c1,le15,-127.02950760603767
5945,10226,10226,"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-5-phenyl-",284.15,1.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,le15,-219.29969338180064
6198,10479,10479,"6H-Pyrido(4,3-b)carbazole, 5,11-dimethyl-",500.25,1.0,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,le15,104.81284329284892
6230,10511,10511,"Urea, N'-(3,4-dichlorophenyl)-N-methoxy-N-methyl-",284.15,1.0,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,le15,-123.59791158819144
6356,10637,10637,"Benz(c)acridine, 7,9-dimethyl-",481.85,1.0,Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1,le15,111.64184138045817
6520,10801,10801,"Ethanol, 2-chloro-, phosphite (3:1)",370.35,1.0,OCCCl.OCCCl.OCCCl.OP(O)O,le15,-124.78866834409325
7150,11431,11431,"4-Pyridinemethanol, 3,3'-(dithiobis(methylene))bis(5-hydroxy-6-methyl-",676.15,1.0,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,le15,108.77837537030018
7228,11509,11509,"3,6,9,12,15,18,21,24-Octaoxahexacosane-1,26-diol",533.15,1.0,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,le15,170.81233090953083
7231,11512,11512,"9,10-Anthracenedione, 1,4-bis((4-methylphenyl)amino)-",470.15,1.0,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3)c3c2C(=O)c2ccccc2C3=O)cc1,le15,-129.69205338598601
7260,11541,11541,"5,9,14,18-Anthrazinetetrone, 6,15-dihydro-",527.05,1.0,O=c1c2ccccc2c(=O)c2c1ccc1[nH]c3c(ccc4c(=O)c5ccccc5c(=O)c43)[nH]c12,le15,-155.1542319837131
7311,11592,11592,tetratetracontane,721.3499999999997,1.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,le15,180.0026274833574
7312,11593,11593,[2-hydroxy-3-[(Z)-octadec-9-enoyl]oxypropyl] (Z)-octadec-9-enoate,462.35,1.0,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC,le15,-125.13736239561581
924,5205,5205,"Maleonitrile, diamino- (8CI)",495.85,1.0,N#C/C(N)=C(/N)C#N,le15,161.15313581127043
1049,5330,5330,"2-Propyn-1-amine, N,N-diethyl-",429.15,1.0,C#CCN(CC)CC,le15,116.6952729534371
1607,5888,5888,2-ethoxyacetyl chloride,480.55,1.0,CCOCC(=O)Cl,le15,167.71347038635776
1900,6181,6181,"s-Triazine-2,4,6(1H,3H,5H)-trione (8CI)",706.75,1.0,O=c1[nH]c(=O)[nH]c(=O)[nH]1,le15,101.3845287360025
3472,7753,7753,"Benzoic acid, 4-chloro-",511.15,1.0,O=C(O)c1ccc(Cl)cc1,le15,110.50716923138867
3730,8011,8011,"1,2,3,4,5,6-hexamethylbenzene",534.55,1.0,Cc1c(C)c(C)c(C)c(C)c1C,le15,168.33940040521577
3936,8217,8217,"Benzo(b)thiophene 1,1-dioxide",517.15,1.0,O=S1(=O)C=Cc2ccccc21,le15,108.6563583351612
4357,8638,8638,"Benzenamine, 2,6-bis(1-methylethyl)-",481.35,1.0,CC(C)c1cccc(C(C)C)c1N,le15,104.52800911594932
5118,9399,9399,2-phenylbenzoic acid,616.65,1.0,O=C(O)c1ccccc1-c1ccccc1,le15,169.1731811523877
5241,9522,9522,"Benzene, 1-bromo-4-nitro-",528.15,1.0,O=[N+]([O-])c1ccc(Br)cc1,le15,140.75998672514714
6315,10596,10596,"Phosphoric acid, diethyl 3-(ethylthio)-1-propenyl ester (9CI)",558.65,1.0,CCOP(=O)(OC=CCSCC)OCC,le15,141.4283175904286
6342,10623,10623,"Benz(a)anthracene, 7,12-dimethyl-",327.5499999999999,1.0,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,le15,-157.6283036342009
6508,10789,10789,"Benz(j)aceanthrylene, 1,2-dihydro-3-methyl-",268.15,1.0,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,le15,-219.99842245898867
7294,11575,11575,"5,9,14,18-Anthrazinetetrone, 7,16-dichloro-6,15-dihydro-",703.75,1.0,O=c1c2ccccc2c(=O)c2c1cc(Cl)c1[nH]c3c([nH]c12)c(Cl)cc1c(=O)c2ccccc2c(=O)c13,le15,127.80191965589972
591,4872,4872,Mesityloxide,305.0,1.0,Cc1cc(C)c(Oc2c(C)cc(C)cc2C)c(C)c1,le15,-127.56850361693216
848,5129,5129,"Urea, 1,3-dimethyl-2-thio-",473.15,1.0,CNC(=S)NC,le15,134.99148344013827
1471,5752,5752,trimethylarsane,373.15,1.0,C[As](C)C,le15,128.73185507063508
1613,5894,5894,"1,4-dichlorobut-2-yne",433.15,1.0,ClCC#CCCl,le15,101.88948025609932
1803,6084,6084,"2,4,6(1H,3H,5H)-Pyrimidinetrione",423.15,1.0,O=C1CC(=O)NC(=O)N1,le15,-100.39047553013381
1956,6237,6237,methyl 2-methyl-3-oxobutanoate,505.55,1.0,COC(=O)C(C)C(C)=O,le15,156.88394917514154
2239,6520,6520,"Benzenamine, 2,4,5-trimethyl- (9CI)",268.15,1.0,Cc1cc(C)c(N)cc1C,le15,-113.65836161776883
4354,8635,8635,"1,3,5-Triazine-2,4,6(1H,3H,5H)-trithione",373.65,1.0,S=c1[nH]c(=S)[nH]c(=S)[nH]1,le15,-166.35597321526006
5955,10236,10236,2biphenylyl2chloroethylether,433.15,1.0,ClC(COCC(Cl)c1ccccc1-c1ccccc1)c1ccccc1-c1ccccc1,le15,-158.23867596147204
6462,10743,10743,"2-Ethyl-2,5,6,7,8-pentahydroxy-1,4-naphthoquinone",360.55,1.0,CCC1(O)CC(=O)c2c(O)c(O)c(O)c(O)c2C1=O,le15,-211.41806086500418
6653,10934,10934,"9,12-Octadecadienoic acid, (9E,12E)-",546.15,1.0,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,le15,125.32635938071957
6767,11048,11048,"2-Propanol, 1,1',1'',1'''-(1,2-ethanediyldinitrilo)tetrakis-",373.15,1.0,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,le15,-187.50297565906249
6861,11142,11142,"1,4,5,8-Naphthalenetetracarboxylic acid",687.15,1.0,O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12,le15,149.86533710719607
7059,11340,11340,"Oxirane, 2,2'-((1-methylethylidene)bis(4,1-phenyleneoxymethylene))bis-",563.15,1.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,le15,105.24586346509659
7212,11493,11493,"Pregn-4-ene-3,11,20-trione, 21-(acetyloxy)-17-hydroxy-",470.45,1.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,le15,-105.28604121137249
7270,11551,11551,"Benzamide, N,N'-(dithiodi-2,1-phenylene)bis-",523.15,1.0,O=C(Nc1ccccc1SSc1ccccc1NC(=O)c1ccccc1)c1ccccc1,le15,-108.70808303583806
7279,11560,11560,"Piperazine, 1,4-bis(3,4,5-trimethoxybenzoyl)-",636.8499999999998,1.0,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,le15,141.35312380482821
7307,11588,11588,"Octadecanamide, N,N'-ethylenebis- (8CI)",373.85,1.0,CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC,le15,-239.88114348393617
442,4723,4723,(E)-1-chlorobut-2-ene,261.15,1.0,C/C=C/CCl,le15,-113.17251385841149
