,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,Methyltrichlorosilane,276.15,1,C[Si](Cl)(Cl)Cl,didier12
1,1,Vinyltrichlorosilane,294.15,1,C=C[Si](Cl)(Cl)Cl,didier12
2,2,Dichloromethylmethyldichlorosilane,301.15,1,C[Si](Cl)(Cl)C(Cl)Cl,didier12
3,3,Ethyltrichlorosilane,263.15,1,CC[Si](Cl)(Cl)Cl,didier12
4,4,Dimethylchlorosilane,245.15,1,C[SiH](C)Cl,didier12
5,5,Ethylsilane,213.15,1,CC[SiH3],didier12
6,6,"1,1,1-Trifluoropropyltrichlorosilane",288.15,1,CC(C(F)(F)F)[Si](Cl)(Cl)Cl,didier12
7,7,Allyltrichlorosilane,304.15,1,C=CC[Si](Cl)(Cl)Cl,didier12
8,8,Methylvinyldichlorosilane,272.15,1,CC=C[SiH](Cl)Cl,didier12
9,9,3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,didier12
10,10,n-Propyltrichlorosilane,310.15,1,CCC[Si](Cl)(Cl)Cl,didier12
11,11,Chloromethyldimethylchlorosilane,295.15,1,C[Si](C)(Cl)CCl,didier12
12,12,Trimethylbromosilane,270.15,1,C[Si](C)(C)Br,didier12
13,13,Trimethylchlorosilane,255.15,1,C[Si](C)(C)Cl,didier12
14,14,Trimethylfluorosilane,238.15,1,C[Si](C)(C)F,didier12
15,15,Trimethoxysilane,264.15,1,CO[SiH](OC)OC,didier12
16,16,Cyanoethylmethyldichlorosilane,333.15,1,C[Si](Cl)(Cl)CCC#N,didier12
17,17,Allylmethyldichlorosilane,300.15,1,C=CCC[SiH](Cl)Cl,didier12
18,18,3-Chloropropylmethyldichlorosilane,359.15,1,C[Si](Cl)(Cl)CCCCl,didier12
19,19,t-Butyltrichlorosilane,294.15,1,CC(C)(C)[Si](Cl)(Cl)Cl,didier12
20,20,Isobutyltrichlorosilane,310.15,1,CC(C)C[Si](Cl)(Cl)Cl,didier12
21,21,n-Butyltrichlorosilane,327.15,1,CCCC[Si](Cl)(Cl)Cl,didier12
22,22,Trimethylsilylisothiocyanate,308.15,1,C[Si](C)(C)N=C=S,didier12
23,23,n-Propylmethyldichlorosilane,300.15,1,CCC[Si](C)(Cl)Cl,didier12
24,24,Bromomethyltrimethylsilane,289.15,1,C[Si](C)(C)CBr,didier12
25,25,Ethyldimethylchlorosilane,269.15,1,CC[Si](C)(C)Cl,didier12
26,26,Methoxytrimethylsilane,243.15,1,CO[Si](C)(C)C,didier12
27,27,Dimethyldimethoxysilane,265.15,1,CO[Si](C)(C)OC,didier12
