,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
94,94,methylbenzene,280.15,1,Cc1ccccc1,patel10
95,95,"1,2-dimethylbenzene",305.15,1,Cc1ccccc1C,patel10
96,96,"1,4-dimethylbenzene",300.15,1,Cc1ccc(C)cc1,patel10
97,97,"1,3,5-trimethylbenzene",317.15,1,Cc1cc(C)cc(C)c1,patel10
98,98,isopropylbenzene,319.15,1,CC(C)c1ccccc1,patel10
99,99,tridecane,352.15,1,CCCCCCCCCCCCC,patel10
100,100,tetradecane,372.15,1,CCCCCCCCCCCCCC,patel10
101,101,hexadecane,408.15,1,CCCCCCCCCCCCCCCC,patel10
102,102,heptadecane,421.15,1,CCCCCCCCCCCCCCCCC,patel10
103,103,nonadecane,441.15,1,CCCCCCCCCCCCCCCCCCC,patel10
104,104,isopentane,222.15,1,CCC(C)C,patel10
105,105,isohexane,250.15,1,CCCC(C)C,patel10
106,106,3-methylpentane,241.15,1,CCC(C)CC,patel10
107,107,"2,3-dimethylbutane",244.15,1,CC(C)C(C)C,patel10
108,108,"buta-1,3-diene",197.05,1,C=CC=C,patel10
109,109,but-2-ene,199.85,1,CC=CC,patel10
110,110,(z)-but-2-ene,200.15,1,C/C=C\C,patel10
111,111,but-1-ene,193.15,1,C=CCC,patel10
112,112,2-methylprop-1-ene,157.15,1,C=C(C)C,patel10
113,113,(Z)-pent-2-ene,255.15,1,C/C=C\CC,patel10
114,114,pent-1-ene,222.15,1,C=CCCC,patel10
115,115,dec-1-ene,320.15,1,C=CCCCCCCCC,patel10
116,116,hept-1-ene,264.15,1,C=CCCCCC,patel10
117,117,cyclooctane,301.15,1,C1CCCCCCC1,patel10
118,118,"cyclopenta-1,3-diene",273.15,1,C1=CCC=C1,patel10
119,119,cyclopentane,236.15,1,C1CCCC1,patel10
120,120,cyclopentene,243.15,1,C1=CCCC1,patel10
121,121,2-methylheptane,277.15,1,CCCCCC(C)C,patel10
122,122,4-vinylcyclohexene,294.15,1,C=CC1CC=CCC1,patel10
123,123,4-methylpent-1-yne,269.15,1,C#CCC(C)C,patel10
134,134,methoxymethane,232.039,1,COC,patel10
135,135,ethoxyethane,233.15,1,CCOCC,patel10
136,136,2-methoxy-2-methylpropane,238.706,1,COC(C)(C)C,patel10
137,137,2-isopropoxypropane,245.372,1,CC(C)OC(C)C,patel10
138,138,1-butoxybutane,304.261,1,CCCCOCCCC,patel10
139,139,1-pentoxypentane,330.372,1,CCCCCOCCCCC,patel10
140,140,1-ethenoxybutane,263.706,1,C=COCCCC,patel10
141,141,2-methyloxirane,235.928,1,CC1CO1,patel10
142,142,2-ethyloxirane,260.928,1,CCC1CO1,patel10
