compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
Ethyltrimethoxysilane,300.15,1,C(C)[Si](OC)(OC)OC,chen14,1,1,0,0
"(N,N-Dimethylamino)trimethylsilane",254.5,1,CN(C)[Si](C)(C)C,chen14,1,1,0,0
Pentamethyldisiloxane,254.15,1,C[SiH](O[Si](C)(C)C)C,chen14,1,1,0,0
Phenylsilane,281.15,1,C1(=CC=CC=C1)[SiH3],chen14,1,1,0,0
1-Hexenyltrichlorosilane,333.15,1,C(=CCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Cyclohexyltrichlorosilane,358.15,1,C1(CCCCC1)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Bis(chloromethyl)tetramethyldisiloxane,346.15,1,ClC[Si](O[Si](C)(C)C)(C)CCl,chen14,1,1,0,0
Propargyloxytrimethylsilane,300.15,1,C(C#C)O[Si](C)(C)C,chen14,1,1,0,0
Divinyldimethylsilane,281.15,1,C(=C)[Si](C)(C)C=C,chen14,1,1,0,0
n-Hexyltrichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Hexyldichlorosilane,337.15,1,C(CCCCC)[SiH](Cl)Cl,chen14,1,1,0,0
"1,1 -Dimethyl-1-sila-2-oxacyclohexane",287.15,1,C[Si]1(OCCCC1)C,chen14,1,1,0,0
Acetoxymethyltrimethylsilane,293.15,1,C(C)(=O)OC[Si](C)(C)C,chen14,1,1,0,0
Allyltrimethylsilane,280.15,1,C(C=C)[Si](C)(C)C,chen14,1,1,0,0
Triethylchlorosilane,303.15,1,C(C)[Si](Cl)(CC)CC,chen14,1,1,0,0
t-Butyldimethylchlorosilane,295.15,1,C(C)(C)(C)[Si](Cl)(C)C,chen14,1,1,0,0
3-Chloropropylmethyldimethoxysilane,318.15,1,ClCCC[Si](OC)(OC)C,chen14,1,1,0,0
Trimethyl-n-propoxysilane,283.15,1,C[Si](OCCC)(C)C,chen14,1,1,0,0
t-Butyldimethylsilanol,318.15,1,C(C)(C)(C)[Si](O)(C)C,chen14,1,1,0,0
Dimethyldiethoxysilane,284.15,1,C[Si](OCC)(OCC)C,chen14,1,1,0,0
Triethylsilane,270.15,1,C(C)[SiH](CC)CC,chen14,1,1,0,0
Hexylsilane,285.15,1,C(CCCCC)[SiH3],chen14,1,1,0,0
t-Butyld imethyl silane,251.15,1,C(C)(C)(C)[SiH](C)C,chen14,1,1,0,0
Bis(dimethylamino)dimethylsilane,266.15,1,CN(C)[Si](C)(C)N(C)C,chen14,1,1,0,0
Hexamethylcyclotrisiloxane,305.15,1,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,chen14,1,1,0,0
Hexamethyldisilthiane,299.15,1,C[Si](S[Si](C)(C)C)(C)C,chen14,1,1,0,0
Hexamethyldisilazane,281.15,1,C[Si](N[Si](C)(C)C)(C)C,chen14,1,1,0,0
Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,chen14,1,1,0,0
Hexamethyltrisiloxane,293.15,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,chen14,1,1,0,0
Phenylmethyldichlorosilane,340.15,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,chen14,1,1,0,0
Phenylmethylchlorosilane,355.15,1,C1(=CC=CC=C1)C[SiH2]Cl,chen14,1,1,0,0
Methyltriacetoxysilane,358.15,1,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1,1,0,0
Trivinylmethylsilane,288.15,1,C(=C)C(C=C)(C=C)[SiH3],chen14,1,1,0,0
Cyclohexylmethyldichlorosilane,355.15,1,C1(CCCCC1)C[SiH](Cl)Cl,chen14,1,1,0,0
"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1,C[Si](OC=CC=C)(C)C,chen14,1,1,0,0
2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1,ClCC(=C)C[Si](C)(C)C,chen14,1,1,0,0
