,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
81,81,Vinylmethyldiethoxysilane,289.15,1,C(=C)C[SiH](OCC)OCC,chen14
83,83,t-Butoxytrimethylsilane,287.15,1,C(C)(C)(C)O[Si](C)(C)C,chen14
85,85,Methyltriethoxysilane,297.15,1,C[Si](OCC)(OCC)OCC,chen14
87,87,Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,chen14
88,88,Heptamethyldisilazane,300.15,1,C[Si](N([Si](C)(C)C)C)(C)C,chen14
89,89,Bis(trimethylsiloxy)methylsilane,296.15,1,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,chen14
90,90,Tetravinylsilane,291.15,1,C(=C)[Si](C=C)(C=C)C=C,chen14
92,92,(Cyclopentenyloxy)trimethylsilane,311.15,1,C1(=CCCC1)O[Si](C)(C)C,chen14
94,94,n-Octyltrichlorosilane,369.15,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,chen14
96,96,Tetramethyldivinyldisiloxane,292.15,1,C[Si](O[Si](C=C)(C=C)C)(C)C,chen14
97,97,Triethylacetoxysilane,314.15,1,C(C)C(C(=O)O[SiH3])(CC)CC,chen14
98,98,Vinyltriethoxysilane,307.15,1,C(=C)[Si](OCC)(OCC)OCC,chen14
100,100,Diethyldiethoxysilane,316.15,1,C(C)[Si](OCC)(OCC)CC,chen14
101,101,Tetraethoxysilane,323.15,1,C(C)O[Si](OCC)(OCC)OCC,chen14
102,102,Tetraethylsilane,305.15,1,C(C)[Si](CC)(CC)CC,chen14
103,103,Aminoethylaminopropyltrimethoxysilane,269.15,1,NCCNCCC[Si](OC)(OC)OC,chen14
104,104,Tetramethyldiethoxysiloxane,311.15,1,CC(C(O[Si]([O])OCC)(C)C)C,chen14
105,105,Octamethyltrisiloxane,303.15,1,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,chen14
106,106,Octamethylcyclotetrasiloxane,330.15,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,chen14
