,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
76,76,Tris(dimethylamino)silane,298.0,1,CN(C)[SiH](N(C)C)N(C)C,pan12
77,77,Hexamethyltrisiloxane,293.0,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,pan12
78,78,Phenylmethyldichlorosilane,355.0,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,pan12
79,79,Phenylmethylchlorosilane,355.0,1,C1(=CC=CC=C1)C[SiH2]Cl,pan12
80,80,Trivinylmethylsilane,288.0,1,C(=C)C(C=C)(C=C)[SiH3],pan12
82,82,"1-(Trimethylsiloxy)-1,3-butadiene",298.0,1,C[Si](OC=CC=C)(C)C,pan12
83,83,2-Chloromethyl-3-trimethylsilyl-1-propene,316.0,1,ClCC(=C)C[Si](C)(C)C,pan12
84,84,n-Hexylmethyldichlorosilane,358.0,1,C(CCCCC)[Si](Cl)(Cl)C,pan12
85,85,Vinylmethyldiethoxysilane,289.0,1,C(=C)C[SiH](OCC)OCC,pan12
86,86,Vinyldiethylmethylsilane,288.0,1,C(=C)[Si](C)(CC)CC,pan12
87,87,N-(Trimethylsilyl)morpholine,300.0,1,C[Si](N1CCOCC1)(C)C,pan12
88,88,Bis(trimethylsilyl)carbodiimide,315.0,1,C[Si](C)(C)N=C=N[Si](C)(C)C,pan12
89,89,t-Butoxytrimethylsilane,287.0,1,C(C)(C)(C)O[Si](C)(C)C,pan12
90,90,Vinylpentamethyldisiloxane,285.0,1,C(=C)[Si](O[Si](C)(C)C)(C)C,pan12
91,91,Isobutyltrimethoxysilane,315.0,1,C(C(C)C)[Si](OC)(OC)OC,pan12
92,92,Methyltriethoxysilane,297.0,1,C[Si](OCC)(OCC)OCC,pan12
94,94,Bis(trimethylsilyl)methane,285.0,1,C[Si](C)(C)C[Si](C)(C)C,pan12
95,95,Phenylethyldichlorosilane,365.0,1,C1(=CC=CC=C1)CC[SiH](Cl)Cl,pan12
96,96,Phenyldimethylchlorosilane,334.0,1,C1(=CC=CC=C1)[Si](Cl)(C)C,pan12
99,99,Phenyldimethylsilane,311.0,1,C1(=CC=CC=C1)[SiH](C)C,pan12
100,100,Ethyltriacetoxysilane,377.0,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
101,101,Cyclopentadienyltrimethylsilane,302.0,1,C1(C=CC=C1)[Si](C)(C)C,pan12
102,102,3-(Trimethylsilyl)cyclopentene,299.0,1,C[Si](C1C=CCC1)(C)C,pan12
103,103,"(2,4-Pentadienyl)trimethylsilane",291.0,1,C(C=CC=C)[Si](C)(C)C,pan12
104,104,n-Octyltrichlorosilane,369.0,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,pan12
106,106,Triethylacetoxysilane,314.0,1,C(C)C(C(=O)O[SiH3])(CC)CC,pan12
107,107,Vinyltriethoxysilane,307.0,1,C(=C)[Si](OCC)(OCC)OCC,pan12
109,109,"1,3-Divinyltetramethyldisilazane",307.0,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,pan12
110,110,Tetraethoxysilane,323.0,1,C(C)O[Si](OCC)(OCC)OCC,pan12
112,112,n-Octylsilane,309.0,1,C(CCCCCCC)[SiH3],pan12
113,113,Aminoethylaminopropyltrimethoxysilane,369.0,1,NCCNCCC[Si](OC)(OC)OC,pan12
115,115,Octamethylcyclotetrasiloxane,330.0,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,pan12
116,116,Octamethylcyclotetrasilazane,339.0,1,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,pan12
118,118,p-Chlorophenyltrimethylsilane,322.0,1,ClC1=CC=C(C=C1)[Si](C)(C)C,pan12
120,120,Phenyltrimethoxysilane,358.0,1,C1(=CC=CC=C1)[Si](OC)(OC)OC,pan12
121,121,Trimethylphenylsilane,313.0,1,C[Si](C1=CC=CC=C1)(C)C,pan12
122,122,2-Cyanoethyltriethoxysilane,359.0,1,C(#N)CC[Si](OCC)(OCC)OCC,pan12
125,125,Di-t-butylmethylchlorosilane,342.0,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,pan12
126,126,Hexyltrimethoxysilane,335.0,1,C(CCCCC)[Si](OC)(OC)OC,pan12
129,129,(Diisopropylamino)trimethylsilane,301.0,1,C(C)(C)N(C(C)C)[Si](C)(C)C,pan12
130,130,1-Chlorononamethyltetrasiloxane,347.0,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,pan12
132,132,Benzyltrimethylsilane,335.0,1,C(C1=CC=CC=C1)[Si](C)(C)C,pan12
133,133,3-Methacryloxypropyltrimethoxysilane,365.0,1,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,pan12
